Winner;Black Score;White Score;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;23;41;;DQN Wins;AI Wins;Draw
AI Opponent - Easy;29;35;;15;84;0
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;18;46;;;;
3 Layer BackProp;47;17;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;3;60;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;0;48;;;;
AI Opponent - Easy;16;48;;;;
AI Opponent - Easy;6;56;;;;
AI Opponent - Easy;13;51;;;;
AI Opponent - Easy;0;38;;;;
AI Opponent - Easy;9;55;;;;
AI Opponent - Easy;3;60;;;;
AI Opponent - Easy;31;33;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;0;49;;;;
AI Opponent - Easy;3;54;;;;
3 Layer BackProp;38;26;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;7;57;;;;
3 Layer BackProp;39;25;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;27;37;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;31;33;;;;
3 Layer BackProp;51;13;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;24;40;;;;
3 Layer BackProp;46;18;;;;
AI Opponent - Easy;2;34;;;;
3 Layer BackProp;39;25;;;;
AI Opponent - Easy;0;60;;;;
3 Layer BackProp;34;30;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;22;42;;;;
3 Layer BackProp;34;30;;;;
AI Opponent - Easy;16;48;;;;
AI Opponent - Easy;0;42;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;8;56;;;;
AI Opponent - Easy;0;37;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;31;33;;;;
AI Opponent - Easy;31;33;;;;
3 Layer BackProp;38;26;;;;
AI Opponent - Easy;13;51;;;;
3 Layer BackProp;41;23;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;0;46;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;4;59;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;10;54;;;;
3 Layer BackProp;36;28;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;0;56;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;0;33;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;18;46;;;;
3 Layer BackProp;43;21;;;;
AI Opponent - Easy;8;56;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;14;50;;;;
3 Layer BackProp;38;25;;;;
AI Opponent - Easy;2;49;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;10;54;;;;
AI Opponent - Easy;16;48;;;;
AI Opponent - Easy;0;63;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;0;58;;;;
AI Opponent - Easy;18;46;;;;
3 Layer BackProp;37;27;;;;
3 Layer BackProp;37;27;;;;
AI Opponent - Easy;0;41;;;;
AI Opponent - Easy;27;37;;;;
