Winner;Black Count;White Count;;;;
Draw;32;32;;;;
AI Opponent - Easy;21;43;;DQN Wins;AI Wins;Draw
AI Opponent - Easy;22;42;;22;74;3
3 Layer;37;27;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;11;53;;;;
AI Opponent - Easy;0;42;;;;
3 Layer;41;23;;;;
AI Opponent - Easy;16;48;;;;
3 Layer;39;25;;;;
AI Opponent - Easy;31;33;;;;
3 Layer;34;30;;;;
3 Layer;42;22;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;8;52;;;;
3 Layer;40;24;;;;
3 Layer;37;27;;;;
AI Opponent - Easy;11;53;;;;
AI Opponent - Easy;2;59;;;;
AI Opponent - Easy;20;44;;;;
3 Layer;37;27;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;1;59;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;2;62;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;0;60;;;;
AI Opponent - Easy;8;56;;;;
AI Opponent - Easy;0;42;;;;
AI Opponent - Easy;11;53;;;;
AI Opponent - Easy;27;37;;;;
Draw;32;32;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;28;36;;;;
3 Layer;46;18;;;;
3 Layer;43;21;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;15;49;;;;
3 Layer;38;26;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;23;41;;;;
3 Layer;34;30;;;;
3 Layer;40;24;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;6;58;;;;
AI Opponent - Easy;18;46;;;;
3 Layer;36;28;;;;
Draw;32;32;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;0;54;;;;
AI Opponent - Easy;0;57;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;0;56;;;;
3 Layer;39;25;;;;
AI Opponent - Easy;16;48;;;;
AI Opponent - Easy;9;55;;;;
3 Layer;44;20;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;0;28;;;;
Draw;32;32;;;;
AI Opponent - Easy;0;47;;;;
AI Opponent - Easy;0;58;;;;
AI Opponent - Easy;16;48;;;;
3 Layer;45;19;;;;
AI Opponent - Easy;0;42;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;0;51;;;;
AI Opponent - Easy;24;40;;;;
3 Layer;34;30;;;;
AI Opponent - Easy;1;53;;;;
3 Layer;37;27;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;0;28;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;22;42;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;10;54;;;;
3 Layer;39;25;;;;
3 Layer;56;8;;;;
AI Opponent - Easy;2;59;;;;
AI Opponent - Easy;10;54;;;;
AI Opponent - Easy;13;51;;;;
3 Layer;34;30;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;3;59;;;;
AI Opponent - Easy;8;56;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;22;42;;;;
